Year,BSi MAR (mgSiO2/cm2y),BSi MAR (mgSiO2/cm2y)_1
-15630,3.06,NA
-15673,2.79,NA
-15716,2.46,NA
-15760,2.54,NA
-15803,3.02,NA
-15846,2.66,NA
-15890,2.81,NA
-15933,3.03,NA
-15976,2.9,NA
-16020,2.6,NA
-16063,2.33,NA
-16106,2.62,NA
-16150,2.51,NA
-16193,2.96,NA
-16236,2.47,NA
-16280,2.82,NA
-16323,2.61,NA
-16366,2.83,NA
-16410,2.85,NA
-16453,2.54,NA
-16496,2.77,NA
-16540,3.43,NA
-16583,3.23,NA
-16626,2.76,NA
-16670,2.82,NA
-16713,2.62,NA
-16756,2.56,NA
-16800,2.38,NA
-16843,2.27,NA
-16886,2.31,NA
-16930,2.66,NA
-16973,2.3,NA
-17016,2.58,NA
-17060,2.42,NA
-17103,1.8,3
-17146,2.28,NA
-17188,2.53,NA
-17231,2.56,NA
-17274,2.49,NA
-17316,2.68,NA
-17359,3.04,NA
-17402,3.18,NA
-17444,3.35,NA
-17487,3.28,NA
-17530,3.08,NA
-17572,3.33,NA
-17615,3.18,NA
-17657,3.67,NA
-17700,3.22,NA
-17743,2.74,NA
-17785,2.79,NA
-17828,3.08,NA
-17871,2.74,NA
-17913,3.32,NA
-17956,2.91,NA
-17999,3,NA
-18041,2.98,NA
-18084,2.85,NA
-18127,2.76,NA
-18169,3.55,NA
-18212,3.01,NA
-18255,2.84,NA
-18297,2.74,NA
-18340,3.03,NA
-18383,2.67,NA
-18425,3.24,NA
-18468,3.11,NA
-18511,2.89,NA
-18553,2.77,NA
-18596,3.17,NA
-18639,3.28,NA
-18681,3.35,NA
-18724,3.04,NA
-18766,3,NA
-18809,3.22,NA
-18852,3.24,NA
-18894,3.35,NA
-18937,3.63,NA
-18980,4.43,NA
-19022,3.77,NA
-19065,3.57,NA
-19108,4.25,NA
-19150,4.43,NA
-19193,4.62,4.66
-19236,3.91,4.65
-19278,4.1,NA
-19321,3.52,NA
-19364,3.49,NA
-19406,3.88,NA
-19449,3.28,NA
-19492,3.66,NA
-19534,3.78,NA
-19577,4.35,NA
-19619,4.91,NA
-19662,4.02,NA
-19705,3.89,NA
-19747,4.65,NA
-19790,4.58,NA
-19832,4.43,NA
-19875,4.25,NA
-19918,4.25,NA
-19960,4.36,NA
-20003,4.41,NA
-20046,4.56,NA
-20088,4.42,2.64
-20131,3.98,NA
-20174,3.8,NA
-20216,3.38,NA
-20259,3.73,NA
-20301,3.24,NA
-20344,3.3,NA
-20387,3.03,NA
-20429,3.26,NA
-20472,3.17,NA
-20515,2.78,NA
