Year,Month,Rainfall
1959,Jan,520
1959,Feb,230
1959,Mar,490
1959,Apr,1140
1959,May,100
1959,Jun,10
1959,Jul,20
1959,Aug,NA
1959,Sep,120
1959,Oct,70
1959,Nov,740
1959,Dec,680
1960,Jan,120
1960,Feb,10
1960,Mar,610
1960,Apr,680
1960,May,350
1960,Jun,20
1960,Jul,0
1960,Aug,10
1960,Sep,10
1960,Oct,770
1960,Nov,320
1960,Dec,770
1961,Jan,0
1961,Feb,270
1961,Mar,750
1961,Apr,450
1961,May,20
1961,Jun,0
1961,Jul,70
1961,Aug,20
1961,Sep,900
1961,Oct,1220
1961,Nov,1907
1961,Dec,1706
1962,Jan,970
1962,Feb,520
1962,Mar,1200
1962,Apr,170
1962,May,20
1962,Jun,0
1962,Jul,0
1962,Aug,100
1962,Sep,0
1962,Oct,0
1962,Nov,1533
1962,Dec,947
1963,Jan,200
1963,Feb,190
1963,Mar,1040
1963,Apr,200
1963,May,130
1963,Jun,200
1963,Jul,40
1963,Aug,0
1963,Sep,110
1963,Oct,470
1963,Nov,2300
1963,Dec,1850
1964,Jan,260
1964,Feb,340
1964,Mar,530
1964,Apr,940
1964,May,120
1964,Jun,0
1964,Jul,0
1964,Aug,20
1964,Sep,20
1964,Oct,160
1964,Nov,40
1964,Dec,2260
1965,Jan,550
1965,Feb,0
1965,Mar,260
1965,Apr,620
1965,May,580
1965,Jun,10
1965,Jul,0
1965,Aug,100
1965,Sep,90
1965,Oct,430
1965,Nov,900
1965,Dec,820
1966,Jan,300
1966,Feb,460
1966,Mar,2230
1966,Apr,1010
1966,May,280
1966,Jun,70
1966,Jul,0
1966,Aug,40
1966,Sep,10
1966,Oct,110
1966,Nov,540
1966,Dec,530
1967,Jan,30
1967,Feb,370
1967,Mar,620
1967,Apr,2740
1967,May,170
1967,Jun,40
1967,Jul,80
1967,Aug,300
1967,Sep,930
1967,Oct,840
1967,Nov,980
1967,Dec,250
1968,Jan,0
1968,Feb,420
1968,Mar,3850
1968,Apr,880
1968,May,430
1968,Jun,320
1968,Jul,0
1968,Aug,20
1968,Sep,110
1968,Oct,270
1968,Nov,1700
1968,Dec,1150
1969,Jan,638
1969,Feb,195
1969,Mar,1593
1969,Apr,870
1969,May,120
1969,Jun,40
1969,Jul,10
1969,Aug,230
1969,Sep,80
1969,Oct,662
1969,Nov,3020
1969,Dec,220
1970,Jan,1164
1970,Feb,0
1970,Mar,2002
1970,Apr,240
1970,May,150
1970,Jun,0
1970,Jul,40
1970,Aug,20
1970,Sep,60
1970,Oct,40
1970,Nov,520
1970,Dec,1175
1971,Jan,20
1971,Feb,0
1971,Mar,110
1971,Apr,1140
1971,May,130
1971,Jun,60
1971,Jul,50
1971,Aug,0
1971,Sep,30
1971,Oct,50
1971,Nov,600
1971,Dec,610
1972,Jan,460
1972,Feb,1035
1972,Mar,608
1972,Apr,907
1972,May,1597
1972,Jun,0
1972,Jul,50
1972,Aug,18
1972,Sep,366
1972,Oct,109
1972,Nov,2141
1972,Dec,1149
1973,Jan,274
1973,Feb,364
1973,Mar,700
1973,Apr,604
1973,May,306
1973,Jun,2
1973,Jul,6
1973,Aug,18
1973,Sep,51
1973,Oct,143
1973,Nov,2037
1973,Dec,184
1974,Jan,120
1974,Feb,8
1974,Mar,130
1974,Apr,2006
1974,May,61
1974,Jun,24
1974,Jul,117
1974,Aug,60
1974,Sep,9
1974,Oct,160
1974,Nov,684
1974,Dec,461
1975,Jan,60
1975,Feb,40
1975,Mar,263
1975,Apr,410
1975,May,254
1975,Jun,0
1975,Jul,12
1975,Aug,0
1975,Sep,220
1975,Oct,23
1975,Nov,1026
1975,Dec,976
1976,Jan,193
1976,Feb,26
1976,Mar,191
1976,Apr,599
1976,May,412
1976,Jun,5
1976,Jul,4
1976,Aug,45
1976,Sep,570
1976,Oct,13
1976,Nov,1433
1976,Dec,333
1977,Jan,300
1977,Feb,276
1977,Mar,296
1977,Apr,927
1977,May,58
1977,Jun,94
1977,Jul,0
1977,Aug,26
1977,Sep,197
1977,Oct,471
1977,Nov,1565
1977,Dec,2077
1978,Jan,1060
1978,Feb,354
1978,Mar,2160
1978,Apr,1006
1978,May,147
1978,Jun,5
1978,Jul,16
1978,Aug,0
1978,Sep,8
1978,Oct,158
1978,Nov,3342
1978,Dec,1158
1979,Jan,1441
1979,Feb,265
1979,Mar,675
1979,Apr,1652
1979,May,562
1979,Jun,107
1979,Jul,58
1979,Aug,3
1979,Sep,38
1979,Oct,234
1979,Nov,794
1979,Dec,2203
1980,Jan,504
1980,Feb,158
1980,Mar,541
1980,Apr,490
1980,May,44
1980,Jun,0
1980,Jul,15
1980,Aug,320
1980,Sep,89
1980,Oct,26
1980,Nov,973
1980,Dec,969
1981,Jan,15
1981,Feb,7
1981,Mar,2484
1981,Apr,841
1981,May,226
1981,Jun,0
1981,Jul,30
1981,Aug,27
1981,Sep,138
1981,Oct,352
1981,Nov,625
1981,Dec,2591
1982,Jan,45
1982,Feb,0
1982,Mar,686
1982,Apr,829
1982,May,259
1982,Jun,53
1982,Jul,101
1982,Aug,129
1982,Sep,608
1982,Oct,1064
1982,Nov,2540
1982,Dec,642
1983,Jan,27
1983,Feb,555
1983,Mar,899
1983,Apr,31
1983,May,363
1983,Jun,28
1983,Jul,56
1983,Aug,1
1983,Sep,42
1983,Oct,0
1983,Nov,817
1983,Dec,435
1984,Jan,3
1984,Feb,6
1984,Mar,245
1984,Apr,602
1984,May,16
1984,Jun,100
1984,Jul,46
1984,Aug,2
1984,Sep,41
1984,Oct,725
1984,Nov,1206
1984,Dec,2292
1985,Jan,379
1985,Feb,523
1985,Mar,106
1985,Apr,694
1985,May,143
1985,Jun,0
1985,Jul,69
1985,Aug,25
1985,Sep,54
1985,Oct,180
1985,Nov,939
1985,Dec,1430
1986,Jan,76
1986,Feb,1
1986,Mar,242
1986,Apr,300
1986,May,973
1986,Jun,0
1986,Jul,0
1986,Aug,84
1986,Sep,0
1986,Oct,204
1986,Nov,1480
1986,Dec,2187
1987,Jan,222
1987,Feb,23
1987,Mar,83
1987,Apr,1607
1987,May,448
1987,Jun,16
1987,Jul,114
1987,Aug,177
1987,Sep,0
1987,Oct,61
1987,Nov,535
1987,Dec,185
1988,Jan,1104
1988,Feb,35
1988,Mar,954
1988,Apr,657
1988,May,48
1988,Jun,64
1988,Jul,1
1988,Aug,99
1988,Sep,295
1988,Oct,273
1988,Nov,631
1988,Dec,1934
1989,Jan,326
1989,Feb,0
1989,Mar,85
1989,Apr,1209
1989,May,90
1989,Jun,0
1989,Jul,0
1989,Aug,69
1989,Sep,22
1989,Oct,681
1989,Nov,1145
1989,Dec,1232
1990,Jan,118
1990,Feb,539
1990,Mar,2046
1990,Apr,2095
1990,May,13
1990,Jun,0
1990,Jul,0
1990,Aug,0
1990,Sep,198
1990,Oct,194
1990,Nov,570
1990,Dec,1707
1991,Jan,340
